date,commod_sub,place,priceF_m_baht_100p,priceF_m_baht_kg,priceF_m_baht_ton,commod_gr,commod
1989-04-30,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.85,2850.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-04-30,มันสำปะหลัง,ประเทศ,,0.49,490.0,พืชไร่,มันสำปะหลัง
1989-04-30,สับปะรดโรงงาน,ประเทศ,,0.64,640.0,พืชไร่,สับปะรดโรงงาน
1989-04-30,มะพร้าว,ประเทศ,305.0,2.44,2440.0,พืชยืนต้น,มะพร้าว
1989-04-30,ยางพารา,ประเทศ,,19.64,19640.0,พืชยืนต้น,ยางพารา
1989-04-30,กาแฟ,ประเทศ,,19.75,19750.0,พืชยืนต้น,กาแฟ
1989-04-30,กระเทียม,ประเทศ,,5.77,5770.0,พืชผัก,กระเทียม
1989-04-30,หอมแดง,ประเทศ,,6.76,6760.0,พืชผัก,หอมแดง
1989-04-30,หอมหัวใหญ่,ประเทศ,,0.7,700.0,พืชผัก,หอมหัวใหญ่
1989-04-30,สุกร,ประเทศ,,26.4,26400.0,ปศุสัตว์,สุกร
1989-04-30,ไก่เนื้อ,ประเทศ,,21.88,21880.0,ปศุสัตว์,ไก่เนื้อ
1989-04-30,ไข่ไก่,ประเทศ,118.0,0.944,944.0,ปศุสัตว์,ไข่ไก่
1989-04-30,ข้าวนาปรัง,ประเทศ,,3.969,3969.0,พืชไร่,ข้าว
1989-04-30,ทุเรียน,ประเทศ,,41.57,41570.0,ไม้ผล,ทุเรียน
1989-04-30,เงาะ,ประเทศ,,14.5,14500.0,ไม้ผล,เงาะ
1989-05-31,ข้าวหอมมะลิ,ประเทศ,,4.62,4620.0,พืชไร่,ข้าว
1989-05-31,ข้าวเจ้าอื่น,ประเทศ,,4.45,4450.0,พืชไร่,ข้าว
1989-05-31,ข้าวเหนียว,ประเทศ,,3.553,3553.0,พืชไร่,ข้าว
1989-05-31,ข้าวนาปี,ประเทศ,,4.133,4133.0,พืชไร่,ข้าว
1989-05-31,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.8,2800.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-05-31,มันสำปะหลัง,ประเทศ,,0.47,470.0,พืชไร่,มันสำปะหลัง
1989-05-31,สับปะรดโรงงาน,ประเทศ,,0.5,500.0,พืชไร่,สับปะรดโรงงาน
1989-05-31,มะพร้าว,ประเทศ,270.0,2.16,2160.0,พืชยืนต้น,มะพร้าว
1989-05-31,ยางพารา,ประเทศ,,17.92,17920.0,พืชยืนต้น,ยางพารา
1989-05-31,กาแฟ,ประเทศ,,20.65,20650.0,พืชยืนต้น,กาแฟ
1989-05-31,กระเทียม,ประเทศ,,6.34,6340.0,พืชผัก,กระเทียม
1989-05-31,หอมแดง,ประเทศ,,8.0,8000.0,พืชผัก,หอมแดง
1989-05-31,หอมหัวใหญ่,ประเทศ,,2.37,2370.0,พืชผัก,หอมหัวใหญ่
1989-05-31,สุกร,ประเทศ,,27.28,27280.0,ปศุสัตว์,สุกร
1989-05-31,ไก่เนื้อ,ประเทศ,,22.61,22610.0,ปศุสัตว์,ไก่เนื้อ
1989-05-31,ไข่ไก่,ประเทศ,124.0,0.992,992.0,ปศุสัตว์,ไข่ไก่
1989-05-31,ข้าวนาปรัง,ประเทศ,,4.072,4072.0,พืชไร่,ข้าว
1989-05-31,ทุเรียน,ประเทศ,,28.7,28700.0,ไม้ผล,ทุเรียน
1989-05-31,เงาะ,ประเทศ,,8.11,8109.999999999999,ไม้ผล,เงาะ
1989-06-30,ข้าวหอมมะลิ,ประเทศ,,4.886,4886.0,พืชไร่,ข้าว
1989-06-30,ข้าวเจ้าอื่น,ประเทศ,,4.775,4775.0,พืชไร่,ข้าว
1989-06-30,ข้าวเหนียว,ประเทศ,,3.621,3621.0,พืชไร่,ข้าว
1989-06-30,ข้าวนาปี,ประเทศ,,4.276,4276.0,พืชไร่,ข้าว
1989-06-30,มันสำปะหลัง,ประเทศ,,0.49,490.0,พืชไร่,มันสำปะหลัง
1989-06-30,สับปะรดโรงงาน,ประเทศ,,0.86,860.0,พืชไร่,สับปะรดโรงงาน
1989-06-30,มะพร้าว,ประเทศ,238.0,1.904,1904.0,พืชยืนต้น,มะพร้าว
1989-06-30,ยางพารา,ประเทศ,,17.62,17620.0,พืชยืนต้น,ยางพารา
1989-06-30,กาแฟ,ประเทศ,,22.8,22800.0,พืชยืนต้น,กาแฟ
1989-06-30,กระเทียม,ประเทศ,,6.54,6540.0,พืชผัก,กระเทียม
1989-06-30,หอมแดง,ประเทศ,,7.4,7400.0,พืชผัก,หอมแดง
1989-06-30,หอมหัวใหญ่,ประเทศ,,3.0,3000.0,พืชผัก,หอมหัวใหญ่
1989-06-30,สุกร,ประเทศ,,27.91,27910.0,ปศุสัตว์,สุกร
1989-06-30,ไก่เนื้อ,ประเทศ,,25.46,25460.0,ปศุสัตว์,ไก่เนื้อ
1989-06-30,ไข่ไก่,ประเทศ,129.0,1.032,1032.0,ปศุสัตว์,ไข่ไก่
