date,commod_sub,place,priceF_w_baht_100p,priceF_w_baht_kg,priceF_w_baht_ton,commod_gr,commod
2018-01-26,ข้าวปทุมธานี,ประเทศ,,10.458,10458.0,พืชไร่,ข้าว
2018-01-26,ข้าวเจ้าอื่น,ประเทศ,,7.66,7660.0,พืชไร่,ข้าว
2018-01-26,ข้าวเหนียว,ประเทศ,,9.5,9500.0,พืชไร่,ข้าว
2018-01-26,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.22,8220.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-01-26,มันสำปะหลัง,ประเทศ,,2.06,2060.0,พืชไร่,มันสำปะหลัง
2018-01-26,สับปะรดโรงงาน,ประเทศ,,3.68,3680.0,พืชไร่,สับปะรดโรงงาน
2018-01-26,ปาล์มน้ำมัน,ประเทศ,,2.99,2990.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-01-26,มะพร้าว,ประเทศ,1525.78,12.20624,12206.24,พืชยืนต้น,มะพร้าว
2018-01-26,ยางพารา,ประเทศ,,43.01,43010.0,พืชยืนต้น,ยางพารา
2018-01-26,กาแฟ,ประเทศ,,70.5,70500.0,พืชยืนต้น,กาแฟ
2018-01-26,ลำไย,ประเทศ,,29.5,29500.0,ไม้ผล,ลำไย
2018-01-26,หอมแดง,ประเทศ,,13.0,13000.0,พืชผัก,หอมแดง
2018-01-26,สุกร,ประเทศ,,48.26,48260.0,ปศุสัตว์,สุกร
2018-01-26,ไก่เนื้อ,ประเทศ,,38.56,38560.0,ปศุสัตว์,ไก่เนื้อ
2018-01-26,ไข่ไก่,ประเทศ,255.32,2.04256,2042.56,ปศุสัตว์,ไข่ไก่
2018-01-26,กุ้ง,ประเทศ,,178.63,178630.0,ประมง,กุ้ง
2018-02-02,ข้าวหอมมะลิ,ประเทศ,,14.102649999999999,14102.65,พืชไร่,ข้าว
2018-02-02,ข้าวปทุมธานี,ประเทศ,,10.48767,10487.67,พืชไร่,ข้าว
2018-02-02,ข้าวเจ้าอื่น,ประเทศ,,7.673520000000001,7673.52,พืชไร่,ข้าว
2018-02-02,ข้าวเหนียว,ประเทศ,,9.5,9500.0,พืชไร่,ข้าว
2018-02-02,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.24,8240.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-02-02,มันสำปะหลัง,ประเทศ,,2.07,2070.0,พืชไร่,มันสำปะหลัง
2018-02-02,สับปะรดโรงงาน,ประเทศ,,3.96,3960.0,พืชไร่,สับปะรดโรงงาน
2018-02-02,ปาล์มน้ำมัน,ประเทศ,,3.17,3170.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-02-02,มะพร้าว,ประเทศ,1523.02,12.18416,12184.16,พืชยืนต้น,มะพร้าว
2018-02-02,ยางพารา,ประเทศ,,42.33,42330.0,พืชยืนต้น,ยางพารา
2018-02-02,กาแฟ,ประเทศ,,72.04,72040.0,พืชยืนต้น,กาแฟ
2018-02-02,ลำไย,ประเทศ,,29.5,29500.0,ไม้ผล,ลำไย
2018-02-02,หอมแดง,ประเทศ,,10.5,10500.0,พืชผัก,หอมแดง
2018-02-02,สุกร,ประเทศ,,48.36,48360.0,ปศุสัตว์,สุกร
2018-02-02,ไก่เนื้อ,ประเทศ,,38.53,38530.0,ปศุสัตว์,ไก่เนื้อ
2018-02-02,ไข่ไก่,ประเทศ,261.7,2.0936,2093.6,ปศุสัตว์,ไข่ไก่
2018-02-02,กุ้ง,ประเทศ,,182.88,182880.0,ประมง,กุ้ง
2018-02-02,กระเทียม,ประเทศ,,96.31299999999999,96312.99999999999,พืชผัก,กระเทียม
2018-02-09,ข้าวหอมมะลิ,ประเทศ,,14.35389,14353.89,พืชไร่,ข้าว
2018-02-09,ข้าวปทุมธานี,ประเทศ,,11.0431,11043.1,พืชไร่,ข้าว
2018-02-09,ข้าวเจ้าอื่น,ประเทศ,,7.708699999999999,7708.7,พืชไร่,ข้าว
2018-02-09,ข้าวเหนียว,ประเทศ,,9.83526,9835.26,พืชไร่,ข้าว
2018-02-09,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.24,8240.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-02-09,มันสำปะหลัง,ประเทศ,,2.08,2080.0,พืชไร่,มันสำปะหลัง
2018-02-09,สับปะรดโรงงาน,ประเทศ,,4.33,4330.0,พืชไร่,สับปะรดโรงงาน
2018-02-09,ปาล์มน้ำมัน,ประเทศ,,3.46,3460.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-02-09,มะพร้าว,ประเทศ,1585.61,12.68488,12684.88,พืชยืนต้น,มะพร้าว
2018-02-09,ยางพารา,ประเทศ,,41.84,41840.0,พืชยืนต้น,ยางพารา
2018-02-09,กาแฟ,ประเทศ,,72.06,72060.0,พืชยืนต้น,กาแฟ
2018-02-09,ลำไย,ประเทศ,,29.5,29500.0,ไม้ผล,ลำไย
2018-02-09,หอมแดง,ประเทศ,,13.33,13330.0,พืชผัก,หอมแดง
2018-02-09,สุกร,ประเทศ,,48.39,48390.0,ปศุสัตว์,สุกร
2018-02-09,ไก่เนื้อ,ประเทศ,,38.7,38700.0,ปศุสัตว์,ไก่เนื้อ
2018-02-09,ไข่ไก่,ประเทศ,263.76,2.11008,2110.08,ปศุสัตว์,ไข่ไก่
2018-02-09,กุ้ง,ประเทศ,,184.95,184950.0,ประมง,กุ้ง
2018-02-09,กระเทียม,ประเทศ,,96.31299999999999,96312.99999999999,พืชผัก,กระเทียม
2018-02-16,ข้าวหอมมะลิ,ประเทศ,,14.57156,14571.56,พืชไร่,ข้าว
2018-02-16,ข้าวปทุมธานี,ประเทศ,,10.83441,10834.41,พืชไร่,ข้าว
2018-02-16,ข้าวเจ้าอื่น,ประเทศ,,7.51533,7515.33,พืชไร่,ข้าว
2018-02-16,ข้าวเหนียว,ประเทศ,,9.88358,9883.58,พืชไร่,ข้าว
2018-02-16,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.24,8240.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-02-16,มันสำปะหลัง,ประเทศ,,2.15,2150.0,พืชไร่,มันสำปะหลัง
2018-02-16,สับปะรดโรงงาน,ประเทศ,,4.34,4340.0,พืชไร่,สับปะรดโรงงาน
2018-02-16,ปาล์มน้ำมัน,ประเทศ,,3.6,3600.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-02-16,มะพร้าว,ประเทศ,1565.76,12.52608,12526.08,พืชยืนต้น,มะพร้าว
2018-02-16,ยางพารา,ประเทศ,,41.49,41490.0,พืชยืนต้น,ยางพารา
2018-02-16,กาแฟ,ประเทศ,,69.53,69530.0,พืชยืนต้น,กาแฟ
2018-02-16,ลำไย,ประเทศ,,29.5,29500.0,ไม้ผล,ลำไย
2018-02-16,หอมแดง,ประเทศ,,12.3,12300.0,พืชผัก,หอมแดง
2018-02-16,สุกร,ประเทศ,,48.1,48100.0,ปศุสัตว์,สุกร
2018-02-16,ไก่เนื้อ,ประเทศ,,38.48,38480.0,ปศุสัตว์,ไก่เนื้อ
2018-02-16,ไข่ไก่,ประเทศ,263.59,2.10872,2108.72,ปศุสัตว์,ไข่ไก่
2018-02-16,กุ้ง,ประเทศ,,184.95,184950.0,ประมง,กุ้ง
2018-02-16,กระเทียม,ประเทศ,,96.31299999999999,96312.99999999999,พืชผัก,กระเทียม
2018-02-23,ข้าวหอมมะลิ,ประเทศ,,14.87175,14871.75,พืชไร่,ข้าว
2018-02-23,ข้าวปทุมธานี,ประเทศ,,10.64283,10642.83,พืชไร่,ข้าว
2018-02-23,ข้าวเจ้าอื่น,ประเทศ,,7.54012,7540.12,พืชไร่,ข้าว
2018-02-23,ข้าวเหนียว,ประเทศ,,9.950209999999998,9950.21,พืชไร่,ข้าว
2018-02-23,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.24,8240.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-02-23,มันสำปะหลัง,ประเทศ,,2.18,2180.0,พืชไร่,มันสำปะหลัง
2018-02-23,สับปะรดโรงงาน,ประเทศ,,4.39,4390.0,พืชไร่,สับปะรดโรงงาน
2018-02-23,ปาล์มน้ำมัน,ประเทศ,,3.53,3530.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-02-23,มะพร้าว,ประเทศ,1541.7,12.3336,12333.6,พืชยืนต้น,มะพร้าว
2018-02-23,ยางพารา,ประเทศ,,42.43,42430.0,พืชยืนต้น,ยางพารา
2018-02-23,กาแฟ,ประเทศ,,69.53,69530.0,พืชยืนต้น,กาแฟ
2018-02-23,ลำไย,ประเทศ,,23.04,23040.0,ไม้ผล,ลำไย
2018-02-23,หอมแดง,ประเทศ,,12.0,12000.0,พืชผัก,หอมแดง
2018-02-23,สุกร,ประเทศ,,46.77,46770.0,ปศุสัตว์,สุกร
2018-02-23,ไก่เนื้อ,ประเทศ,,33.87,33870.0,ปศุสัตว์,ไก่เนื้อ
2018-02-23,ไข่ไก่,ประเทศ,262.84,2.1027199999999997,2102.72,ปศุสัตว์,ไข่ไก่
2018-02-23,กุ้ง,ประเทศ,,182.32,182320.0,ประมง,กุ้ง
2018-02-23,กระเทียม,ประเทศ,,96.31,96310.0,พืชผัก,กระเทียม
2018-03-02,ข้าวหอมมะลิ,ประเทศ,,14.943200000000001,14943.2,พืชไร่,ข้าว
2018-03-02,ข้าวปทุมธานี,ประเทศ,,11.59253,11592.53,พืชไร่,ข้าว
2018-03-02,ข้าวเจ้าอื่น,ประเทศ,,7.487,7487.0,พืชไร่,ข้าว
2018-03-02,ข้าวเหนียว,ประเทศ,,9.80088,9800.88,พืชไร่,ข้าว
2018-03-02,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.24,8240.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-03-02,มันสำปะหลัง,ประเทศ,,2.24,2240.0,พืชไร่,มันสำปะหลัง
2018-03-02,สับปะรดโรงงาน,ประเทศ,,4.24,4240.0,พืชไร่,สับปะรดโรงงาน
2018-03-02,ปาล์มน้ำมัน,ประเทศ,,3.37,3370.0,พืชยืนต้น,ปาล์มน้ำมัน
2018-03-02,มะพร้าว,ประเทศ,1456.48,11.65184,11651.84,พืชยืนต้น,มะพร้าว
2018-03-02,ยางพารา,ประเทศ,,44.87,44870.0,พืชยืนต้น,ยางพารา
2018-03-02,กาแฟ,ประเทศ,,69.06,69060.0,พืชยืนต้น,กาแฟ
2018-03-02,ลำไย,ประเทศ,,24.5,24500.0,ไม้ผล,ลำไย
2018-03-02,หอมแดง,ประเทศ,,12.0,12000.0,พืชผัก,หอมแดง
2018-03-02,สุกร,ประเทศ,,45.72,45720.0,ปศุสัตว์,สุกร
2018-03-02,ไก่เนื้อ,ประเทศ,,33.57,33570.0,ปศุสัตว์,ไก่เนื้อ
2018-03-02,ไข่ไก่,ประเทศ,263.55,2.1084,2108.4,ปศุสัตว์,ไข่ไก่
2018-03-02,กุ้ง,ประเทศ,,187.44,187440.0,ประมง,กุ้ง
2018-03-02,กระเทียม,ประเทศ,,96.31,96310.0,พืชผัก,กระเทียม
2018-03-09,ข้าวหอมมะลิ,ประเทศ,,15.11421,15114.21,พืชไร่,ข้าว
2018-03-09,ข้าวปทุมธานี,ประเทศ,,12.34563,12345.63,พืชไร่,ข้าว
2018-03-09,ข้าวเจ้าอื่น,ประเทศ,,7.67263,7672.63,พืชไร่,ข้าว
2018-03-09,ข้าวเหนียว,ประเทศ,,9.72019,9720.19,พืชไร่,ข้าว
2018-03-09,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,8.27,8270.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
2018-03-09,มันสำปะหลัง,ประเทศ,,2.29,2290.0,พืชไร่,มันสำปะหลัง
2018-03-09,สับปะรดโรงงาน,ประเทศ,,4.02,4019.9999999999995,พืชไร่,สับปะรดโรงงาน
